# Show feedback bank — format: event_id | researched date | remark

13 | 2026-08-26 | نمایش «ویژه بانوان نیست» با امتیاز ۴.۶ از ۵ در فیدیبو و استقبال گسترده مخاطبان که منجر به فروش بیش از ۹ هزار بلیت و بیش از ۱۰۰ اجرا شده، محبوبیت خود را ثابت کرده است. با این حال، برخی تماشاگران و منتقدان، محتوای آن را شامل شوخی‌های جنسی سطحی و فاقد عمق لازم برای یک اثر تئاتری دانسته‌اند که بیشتر شبیه به کلیپ‌های اینستاگرامی است. ضعف‌هایی همچون عدم وضوح صدای بازیگران در بخش‌هایی از نمایش و پایان‌بندی غیرمنطقی نیز مورد اشاره قرار گرفته است. علاوه بر این، تأخیرهای طولانی و عدم رعایت احترام تماشاگران، از نکات منفی مهم ذکر شده توسط برخی منتقدان است. به طور کلی، این نمایش با وجود موفقیت تجاری، از نظر کیفیت هنری و اجرایی بازخوردهای متفاوتی دریافت کرده است.
20 | 2026-08-22 | با امتیاز ۴.۴ از ۵ در فیدیبو، "ماهی بلژیکی" به کارگردانی آروند دشت‌آرای با متن دقیق و هماهنگی عناصر صحنه از جمله نورپردازی، طراحی لباس و صداگذاری، تحسین منتقدان و تماشاگران را برانگیخته است. بازی‌های کاظم سیاحی و به خصوص طاهره هزاوه از نقاط قوت اصلی کار برشمرده می‌شوند که پرانرژی و دقیق ارزیابی شده‌اند. با این حال، برخی تماشاگران ریتم ابتدایی نمایش را کمی کند و داستان را گاهی خسته‌کننده یافته‌اند و کیفیت نامطلوب سیستم صوتی و نامفهوم بودن دیالوگ‌ها در بخش‌هایی، از جمله نقاط ضعف مهم ذکر شده است. در مجموع، نمایش اثری فکرشده و عمیق است که مخاطب را به چالش می‌کشد، اما از مشکلاتی در صدا و ریتم اولیه رنج می‌برد.
47 | 2026-08-07 | نمایش «تاوان» با امتیاز ۴.۶ از ۵ در فیدیبو (با وجود ۷ رای)، روایتی خانوادگی از فقر، روابط پیچیده و انتخاب‌های انسانی را ارائه می‌دهد که مورد توجه قرار گرفته است. از نقاط قوت این نمایش می‌توان به تلاش برای عدم قضاوت زودهنگام شخصیت اصلی و دعوت تماشاگر به درک مسیر او، و نیز خلق شخصیت‌هایی چندبعدی که نه کاملاً مجرم و نه قربانی صرف هستند، اشاره کرد. گروه اجرایی با تمرکز بر زیستنِ نقش‌ها به جای صرفاً بازی کردن، توانسته‌اند تعادل میان مسئولیت فردی و تأثیر شرایط اجتماعی را به خوبی نشان دهند. بازخوردهای موجود عمدتاً بر عمق اجتماعی و رویکرد غیرقضاوتی نمایش تأکید دارند، هرچند به دلیل کم بودن تعداد آرا، نمی‌توان نقاط ضعف گسترده‌ای از بازخورد تماشاگران به دست آورد.
50 | 2026-08-15 | نمایش «خون بس» با امتیاز ۳.۱ از ۵ در فیدیبو، اثری است که از نظر طراحی صحنه، نورپردازی، لباس و بهره‌برداری از امکانات تالار وحدت، جلوه‌های بصری قدرتمندی ارائه می‌دهد. بازی‌های تاثیرگذار بازیگران مطرحی چون پانته‌آ پناهی‌ها و الهام کردا نیز از نقاط قوت برجسته این اجرا محسوب می‌شود. با این حال، مهم‌ترین ضعف نمایش به متن و روایت آن بازمی‌گردد که به دلیل عدم انسجام، سردرگمی و گاهی شعارزدگی، مورد انتقاد منتقدان قرار گرفته است. این اثر، که قسمت سوم یک سه‌گانه است، از نظر محتوایی ارتباط ضعیفی با کارهای قبلی خود دارد. در مجموع، بازخوردها نشان می‌دهد که اگرچه نمایش از لحاظ بصری و اجرایی موفق است، اما در بخش داستانی نتوانسته رضایت کامل مخاطب و منتقد را جلب کند.
136 | 2026-08-08 | نمایش «کلاژ بیضایی» با امتیاز فیدیبو 4.7 از 5، به دلیل جسارت در ایده تلفیق آثار بهرام بیضایی و استفاده از شیوه‌های نمایش ایرانی نظیر نقالی و سایه‌بازی، تحسین مخاطبان را برانگیخته است. بازی‌های یکدست و پرانرژی بازیگران و هماهنگی آنان در اجرا، به همراه موسیقی تاثیرگذار و طراحی صحنه و لباس چشم‌نواز، از نقاط قوت برجسته این اثر محسوب می‌شود. با این حال، برخی از بازخوردها به دشواری متن و نیاز مخاطب به آشنایی قبلی با آثار بیضایی برای درک کامل ارتباط میان روایت‌ها اشاره دارند. همچنین، این نمایش در یک برنامه تخصصی تئاتر دانشگاهی به عنوان اثری "بحث‌برانگیز" مورد نقد و بررسی قرار گرفته که ممکن است نشان‌دهنده چالش‌هایی در رویکرد کارگردان به اقتباس و بازآفرینی باشد. با وجود این ملاحظات، اثر کلی تماشاگران را شگفت‌زده و درگیر می‌کند.
149 | 2026-08-07 | نمایش برداشت آخر | نمایش «برداشت آخر» با امتیاز پایین ۲.۳ از ۵ در فیدیبو (با ۹ رای) و امتیاز ۴.۶۲ از ۱۰ توسط تاترینا، بازخوردهای عمدتاً منفی دریافت کرده است. در حالی که ایده کلی نمایش و استفاده از نور و عمق صحنه مورد توجه برخی قرار گرفته و بازیگری و طراحی لباس و گریم امتیاز متوسطی کسب کرده، نقدها به شدت منفی هستند. مهم‌ترین نقاط ضعف شامل نمایشنامه ضعیف، فقدان ارزش و از خودبیگانگی مخاطب توسط منتقدان در گذشته بوده است. تماشاگران نیز از ریتم بسیار کند، کمبود اتفاقات داستانی، و گیج‌کننده بودن اثر گلایه کرده‌اند. امتیاز بسیار پایین تأثیرگذاری کلی و ارزش توصیه به دیگران در تاترینا نیز نشان‌دهنده عدم موفقیت کلی نمایش است.
151 | 2026-08-22 | نمایش «شیزوفرنی+» با امتیاز 4.6 از 5 در فیدیبو، اثری است که از نظر طراحی صحنه، لباس، نور و میزانسن دقیق و روان‌شناختی، تحسین بسیاری را برانگیخته است. ریتم پویا و پرانرژی نمایش، به ویژه با بازی‌های درخشان بازیگران اصلی چون امیر غفارمنش و امیر کربلایی‌زاده و شیمی قوی میان آن‌ها، از نقاط قوت برجسته محسوب می‌شود. همچنین، گروه موسیقی زنده و طراحی لباس‌های متناسب با جهان ذهنی کاراکترها مورد ستایش قرار گرفته است. با این حال، برخی منتقدان به ضعف در عمق‌بخشی علمی به بیماری شیزوفرنی با وجود عنوان نمایش اشاره کرده‌اند و معتقدند که بیشتر شبیه به برداشت‌های عامیانه از این بیماری است تا تحلیلی دقیق. علاوه بر این، در برخی نظرات، به ناهماهنگی گروه موسیقی یا ضعف صدای سالن و همچنین سطحی‌بودن داستان‌پردازی در بخش‌هایی از نمایش اشاره شده است. در مجموع، «شیزوفرنی+» نمایشی کمدی-گروتسک با اجراهای قوی و فضاسازی هوشمندانه است که در کنار نقاط قوت، در پرداختن به ابعاد دقیق بیماری عنوان شده، با چالش‌هایی روبرو بوده است.
153 | 2026-08-22 | نمایش "رختکن شماره ۱۶" با امتیاز ۴.۰ از ۵ در فیدیبو و تنها ۶ رأی، یک اجرای تک‌نفره از امیر کربلایی‌زاده است که اغلب بازخوردها آن را اثری درخشان و حرفه‌ای در تئاتر طنز می‌دانند. بداهه‌پردازی‌های هوشمندانه، تسلط بدنی و ریتم دقیق بازیگر، در کنار متن پرمغز و خوش‌ریتم سهند خیرآبادی که طنز اجتماعی را با ظرافت تلفیق می‌کند، از مهم‌ترین نقاط قوت این نمایش است. نورپردازی و صداپردازی نیز استاندارد و در خدمت اثر ارزیابی شده‌اند. برخی نظرات به بکر بودن سوژه، داستان جذاب و خط روایتی عالی اشاره دارند، اما تماشاگران به فضای غیر استاندارد و نامناسب محل اجرا به عنوان یک نقطه ضعف اشاره کرده‌اند. این نمایش با وجود بازخورد محدود، توانسته تماشاگر را در ۸۰ دقیقه مونولوگ سرگرم و درگیر نگه دارد و تجربه‌ای فکری همراه با طنز ارائه دهد.
154 | 2026-08-25 | کنسرت "آنچه نگذشت" علی قمصری در تالار وحدت با استقبال چشمگیر مخاطبان و تمدیدهای مکرر، نمایشی موفق در حوزه موسیقی بود، گرچه امتیاز عددی خاصی در فیدیبو برای آن منتشر نشده است. نقاط قوت اصلی این اجرا شامل "سازبندی سیال" و تلفیق خلاقانه سازهای ایرانی، ارکستر جوانان پارس‌زمین و گروه هم‌آوایان «سکوت» برای خلق روایتی معاصر از موسیقی ایرانی است. با این حال، نقدها و نظرات منتقدان که به نقاط ضعف مشخصی اشاره کنند به طور گسترده در دسترس نیستند، که می‌تواند نشانه‌ای از رضایت نسبی عمومی از کیفیت اجرا باشد.
156 | 2026-08-19 | نمایش «پسران فریدون» به کارگردانی علیرضا معتمدی، با اقتباس از داستانی پرکشش از شاهنامه، چهره‌های شناخته‌شده سینما چون امیر آقایی و نازنین بیاتی را به صحنه تالار وحدت آورده که نقطه قوت اصلی آن برای جذب مخاطب به شمار می‌رود. در حالی که حضور بازیگران مطرح علاقه‌مندی زیادی ایجاد کرده و به فروش بلیت‌ها کمک می‌کند، این اولین تجربه کارگردانی تئاتر برای معتمدی فیلمساز است که می‌تواند هم فرصت نوآوری باشد و هم نقطه ابهامی در کیفیت نهایی اجرا. با وجود اقبال اولیه، بازخورد کیفی جامع از سوی منتقدان یا امتیاز دقیق مردمی در سایت فیدیبو در دسترس نیست. بنابراین، قضاوت درباره نقاط قوت و ضعف مشخص در کارگردانی یا متن فراتر از جذب ستاره‌ها، بدون نقد عمیق، دشوار است.
